Row Type,Action,Keyword status,Campaign,Ad group,Keyword,Type
Keyword,Add,Enabled,法人_保険代理店AI_検索,代理店AI,保険代理店 AI,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,代理店AI,保険代理店 AI活用,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,代理店AI,保険代理店 業務効率化,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,代理店AI,保険代理店 DX,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,代理店AI,代理店 AI 導入,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,保険営業 AI,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,保険営業 提案書 AI,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,生命保険 営業 AI,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,損保 代理店 事務 効率化,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,保険営業AI,保険 営業 自動化,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,AI研修 助成金,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,人材開発支援助成金 AI研修,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,リスキリング AI研修 中小企業,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,AI研修 法人 少人数,Phrase match
Keyword,Add,Enabled,法人_保険代理店AI_検索,AI研修助成金,社員 AI研修 オンライン,Phrase match
